novelID,title,view,good,description,tags,thumbnailURL
195076,패륜 황제의 아빠가 되었다.,449702,28015,나는 소설 속에 빙의했다.\n내가 빙의한 사람은 무려 황제지만 장성한 자식의 손에 죽을 운명이다.\n나는 그 비극적인 운명을 바꿔볼 생각이다.\n하지만 아들만 세 명.\n나를 죽일 녀석이 누군지 모르겠다.\n표지는 WEB UI를 이용해 만들었습니다. 상업적 이용이 가능하며 문제발생시 작가가 책임집니다.,#판타지/#빙의/#소설/#착각,https://image.novelpia.com/imagebox/cover/7e97294471e86785f8931ed354ca0147_310336_ori.wimg
178143,소꿉친구에게 버림 받고 전쟁 영웅이 되었다.,3136647,153589,실연의 충격으로 군대에 입대했다.\n그리고 전쟁 영웅이 되었다.\n※ 표지는 Web UI로 제작되었으며 상업적 사용이 가능하고 발생하는 모든 책임은 작가에게 있습니다.,#판타지/#하렘/#아카데미/#교관/#후회/#집착/#피폐,https://image.novelpia.com/imagebox/cover/394a31d0a75f99bde82103d0a74bec3e_336369_ori.wimg
201687,파혼 당하고 먼치킨이 됐다,334503,10943,"오랜 약혼을 그녀가 일방적으로 깨뜨렸다.\n사유는 약해서. \n""당신의 거짓말은 지긋지긋하군요.""\n변명을 들어주지도 않았다.\n이후 난 지고의 경지인 '마스터'에 올랐다.\n표지는 webui를 사용해서 제작하였으며, 상용 가능합니다.",#판타지/#하렘/#후회/#집착/#착각/#환생/#먼치킨/#피폐/#아카데미,https://image.novelpia.com/imagebox/cover/fe0b44eef21db88d338bd1a82fffab52_566229_ori.wimg
153417,천재 소환술사의 최약체 소환수가 되었다,1675331,104133,해골\n최약체\n미모의 소환술사\n나를 죽인 놈에게서 그녀를 지켜낼 것이다.,#현대판타지/#순애/#해골/#던전/#인외/#시스템/#몬스터/#괴수/#소환,https://image.novelpia.com/imagebox/cover/173069b4a7dd830c02bb56d795cc7c2a_466332_ori.wimg
96051,구라 안치고 진짜 엑스트라,7863823,751316,"""으아아아아아아악!!! 괴물이다아아아앗!!!""\n비명지르는 새끼가 나야!!!\n아카데미 하위권 생도 김근철의 좌충우돌 고군분투 생존기!\n*표지 저작권은 제게 있습니다!!!!!!!!!!!!!!!!!!!!!!!",#현대/#판타지/#아카데미/#성장/#유쾌/#코미디/#액션,https://image.novelpia.com/imagebox/cover/e1966eb7168f2b7a8862fcff21531682_253399_ori.wimg
173463,언젠가 예언자라 불리울 짐꾼이 있었다,1811196,111102,"""너 방금 도망가려 했지?""\n""....""\n""그만 포기해. 우리랑 같이 마왕 잡기 전까진 너 여기서 못 나가.""\n하루아침에 내가 했던 게임 속 세상으로 떨어졌다.\n아무 능력도 없는 내게 남은건 미래에 대한 지식뿐.\n그런 내가 왜 너네랑 마왕 잡으러 다녀야 하는건데.\n이딴 파티, 무슨 일이 있어도 나가고 만다.\n표지 및 삽화는 ai로 제작했으며 상업적 이용이 가능합니다. 문제 발생시 책임은 작가에게 있습니다.",#판타지/#라이트노벨/#하렘/#착각/#게임/#집착/#용사/#전이/#성장/#TS히로인,https://image.novelpia.com/imagebox/cover/dfb4d5179cf649c208e2c50392e685a6_79737_ori.wimg
181525,아카데미 나태 공자가 되었다,1608022,71019,마법 천재라 불리는 북부 대공의 유일한 아들로 빙의했다.,#판타지/#하렘/#일상/#아카데미/#먼치킨/#힐링/#집착/#빙의/#후회,https://image.novelpia.com/imagebox/cover/ff7f393707f820933add468eed878625_248641_ori.wimg
149331,악역의 소꿉친구가 되었다,1569841,85203,"누구나 그럴싸한 계획을 가지고 있다.\n일이 터지기 전까지는.\n※ webui를 이용해 제작후 리터칭한 표지입니다. 상업적 이용이 가능하며, 관련 책임은 작가에게 있습니다.",#현대판타지/#판타지/#하렘/#SF/#아카데미/#헌터/#집착/#후회,https://image.novelpia.com/imagebox/cover/e87be8b27f3538427223b8c775f146f9_301237_ori.wimg
140690,아카데미 창술사가 되었다,7941045,424841,"[창술 Lv.1]\n많은 특성 중에서 창술이 걸렸다는 건 어떻게 보면 나쁘지 않은 결과로 볼 수 있지만…….\n아니, 나빴다.\n그것도 내가 느끼기엔 거의 최악의 결과였다.\n*일러스트 및 삽화는 노벨AI 및 웹 UI를 통해 제작 후 리터칭 진행했으며, 상업적 이용이 가능합니다.\n*정규 연재 시간은 자정을 지난 0시 11분.",#판타지/#라이트노벨/#하렘/#로맨스/#아카데미/#성장/#천재/#착각/#집착,https://image.novelpia.com/imagebox/cover/9ee4c6e0ba642bb074cecbc6fedb8427_481744_ori.wimg
144920,악당에게 사랑받는 운명입니다,7027038,481883,최종 보스에게 청혼 당했다.\n# 본 표지는 상업적으로 이용 가능한 이미지입니다!,#판타지/#하렘/#아카데미/#상태창/#착각,https://image.novelpia.com/imagebox/cover/53ac0682e8c78ccd94a3073cf010b91e_471684_ori.wimg
153386,고인물 스트라이커는 미쳤다.,2575965,160951,[WHY ALWAYS ME?]\n그라운드의 악동.\n표지는 노벨피아에서 제공받은 표지입니다. 일러스트와 타이포그래피는 모두 노벨피아에 저작권이 귀속되어 있습니다.\n*삽화는 NovelAi로 제작했으며 상업적 이용이 가능합니다.,#스포츠/#코미디/#유쾌/#돌아이/#먼치킨/#방송/#예능/#축구/#고인물,https://image.novelpia.com/imagebox/cover/b319deea60b051f45a0f2bf8534e74e6_262646_ori.wimg
196261,꼬우니 접을게,271878,30268,"신규 오픈한 모바일 게임을 찍먹했다.\n하지만 쓰레기 냄새가 풀풀 풍겼고, 커뮤니티도 망한 것 같아 깔끔히 접었는데……\n복귀를 해보니 자유도가 무척이나 높은 게임이었다.\n가슴이나 몸을 터치했을 때의 반응이 남다를 정도로.\n* WebUi 제작 표지입니다. 문제 발생시 책임은 작가에게 있습니다.",#판타지/#모바일/#게임/#가챠/#성장/#TS히로인/#남성향,https://image.novelpia.com/imagebox/cover/5fc193fc39540961823b8d5ab3389c3d_535187_ori.wimg
